Index,Car,MPG,Cylinders,Displacement,Brake HP,Weight,Year,Origin
173,Ford Escort 4W,34.4,4,98,65,2045,81,US
174,Ford F108,13,8,302,130,3870,76,US
175,Ford F250,10,8,360,215,4615,70,US
176,Ford Fairmont,26.4,4,140,88,2870,80,US
177,Ford Fairmont (auto),20.2,6,200,85,2965,78,US
178,Ford Fairmont (man),25.1,4,140,88,2720,78,US
179,Ford Fairmont 4,22.3,4,140,88,2890,79,US
180,Ford Fairmont Futura,24,4,140,92,2865,82,US
181,Ford Fiesta,36.1,4,98,66,1800,78,US
182,Ford Futura,18.1,8,302,139,3205,78,US
183,Ford Galaxie 500,15,8,429,198,4341,70,US
184,Ford Galaxie 500,14,8,351,153,4154,71,US
185,Ford Galaxie 500,14,8,351,153,4129,72,US
186,Ford Gran Torino,14,8,302,137,4042,73,US
187,Ford Gran Torino,16,8,302,140,4141,74,US
188,Ford Gran Torino,14.5,8,351,152,4215,76,US
189,Ford Gran Torino (sw),13,8,302,140,4294,72,US
190,Ford Gran Torino (sw),14,8,302,140,4638,74,US
191,Ford Grenada,18.5,6,250,98,3525,77,US
192,Ford Grenada ghia,18,6,250,78,3574,76,US
193,Ford Grenada gl,20.2,6,200,88,3060,81,US
194,Ford Grenada l,22,6,232,112,2835,82,US
195,Ford LTD,13,8,351,158,4363,73,US
196,Ford LTD,14,8,351,148,4657,75,US
197,Ford LTD Landau,17.6,8,302,129,3725,79,US
198,Ford Maverick,21,6,200,85,2587,70,US
199,Ford Maverick,18,6,250,88,3021,73,US
200,Ford Maverick,15,6,250,72,3158,75,US
201,Ford Maverick,24,6,200,81,3012,76,US
202,Ford Mustang,18,6,250,88,3139,71,US
203,Ford Mustang GL,27,4,140,86,2790,82,US
204,Ford Mustang II,13,8,302,129,3169,75,US
205,Ford Mustang II 2+2,25.5,4,140,89,2755,77,US
206,Ford Pinto,19,4,122,85,2310,73,US
207,Ford Pinto,26,4,122,80,2451,74,US
208,Ford Pinto,23,4,140,83,2639,75,US
209,Ford Pinto,18,6,171,97,2984,75,US
210,Ford Pinto,26.5,4,140,72,2565,76,US
211,Ford Pinto (sw),22,4,122,86,2395,72,US
212,Ford Pinto Runabout,21,4,122,86,2226,72,US
213,Ford Ranger,28,4,120,79,2625,82,US
214,Ford Thunderbird,16,8,351,149,4335,77,US
215,Ford Torino,17,8,302,140,3449,70,US
216,Ford Torino 500,19,6,250,88,3302,71,US
217,Hi 1200D,9,8,304,193,4732,70,US
218,Honda Accord,32.4,4,107,72,2290,80,Japan
219,Honda Accord,36,4,107,75,2205,82,Japan
220,Honda Accord CVCC,31.5,4,98,68,2045,77,Japan
221,Honda Accord LX,29.5,4,98,68,2135,78,Japan
222,Honda Civic,24,4,120,97,2489,74,Japan
223,Honda Civic,33,4,91,53,1795,76,Japan
224,Honda Civic,38,4,91,67,1965,82,Japan
225,Honda Civic (auto),32,4,91,67,1965,82,Japan
226,Honda Civic 1300,35.1,4,81,60,1760,81,Japan
227,Honda Civic 1500 gl,44.6,4,91,67,1850,80,Japan
228,Honda Civic CVCC,33,4,91,53,1795,75,Japan
229,Honda Civic CVCC,36.1,4,91,60,1800,78,Japan
230,Honda Prelude,33.7,4,107,75,2210,81,Japan
231,Mazda 626,31.3,4,120,75,2542,80,Japan
232,Mazda 626,31.6,4,120,74,2635,81,Japan
233,Mazda GLC,46.6,4,86,65,2110,80,Japan
234,Mazda GLC 4,34.1,4,91,68,1985,81,Japan
235,Mazda GLC Custom,31,4,91,68,1970,82,Japan
236,Mazda GLC Custom l,37,4,91,68,2025,82,Japan
237,Mazda GLC Deluxe,32.8,4,78,52,1985,78,Japan
238,Mazda GLC Deluxe,34.1,4,86,65,1975,79,Japan
239,Mazda RX2 Coupe,19,3,70,97,2330,72,Japan
240,Mazda RX3,18,3,70,90,2124,73,Japan
241,Mazda RX-4,21.5,3,80,110,2720,77,Japan
242,Mazda RX-7 GS,23.7,3,70,100,2420,80,Japan
243,Mercedes Benz 300d,25.4,5,183,77,3530,79,Europe
244,Mercedes-Benz 240d,30,4,146,67,3250,80,Europe
245,Mercedes-Benz 280s,16.5,6,168,120,3820,76,Europe
246,Mercury Capri 2000,23,4,122,86,2220,71,US
247,Mercury Capri v6,21,6,155,107,2472,73,US
248,Mercury Cougar Brougham,15,8,302,130,4295,77,US
249,Mercury Grand Marquis,16.5,8,351,138,3955,79,US
250,Mercury Lynx l,36,4,98,70,2125,82,US
251,Mercury Marquis,11,8,429,208,4633,72,US
252,Mercury Marquis Brougham,12,8,429,198,4952,73,US
253,Mercury Monarch,15,6,250,72,3432,75,US
254,Mercury Monarch ghia,20.2,8,302,139,3570,78,US
255,Mercury Zephyr,20.8,6,200,85,3070,78,US
256,Mercury Zephyr 6,19.8,6,200,85,2990,79,US
257,Nissan Stanza XE,36,4,120,88,2160,82,Japan
258,Oldsmobile Cutlass Ciera (diesel),38,6,262,85,3015,82,US
259,Oldsmobile Cutlass LS,26.6,8,350,105,3725,81,US
260,Oldsmobile Cutlass Salon Brougham,19.9,8,260,110,3365,78,US
261,Oldsmobile Cutlass Salon Brougham,23.9,8,260,90,3420,79,US
262,Oldsmobile Cutlass Supreme,17,8,260,110,4060,77,US
263,Oldsmobile Delta 88 Royale,12,8,350,160,4456,72,US
264,Oldsmobile Omega,11,8,350,180,3664,73,US
265,Oldsmobile Omega Brougham,26.8,6,173,115,2700,79,US
266,Oldsmobile Starfire SX,23.8,4,151,85,2855,78,US
267,Oldsmobile Vista Cruiser,12,8,350,180,4499,73,US
268,Opel 1900,28,4,116,90,2123,71,Europe
269,Opel 1900,25,4,116,81,2220,76,Europe
270,Opel Manta,24,4,116,75,2158,73,Europe
271,Opel Manta,26,4,97,78,2300,74,Europe
272,Peugeot 304,30,4,79,70,2074,71,Europe
273,Peugeot 504,25,4,110,87,2672,70,Europe
274,Peugeot 504,23,4,120,88,2957,75,Europe
275,Peugeot 504,19,4,120,88,3270,76,Europe
276,Peugeot 504,27.2,4,141,71,3190,79,Europe
277,Peugeot 504 (sw),21,4,120,87,2979,72,Europe
278,Peugeot 505s Turbo Diesel,28.1,4,141,80,3230,81,Europe
279,Peugeot 604sl,16.2,6,163,133,3410,78,Europe
280,Plymouth Arrow GS,25.5,4,122,96,2300,77,US
281,Plymouth Champ,39,4,86,64,1875,81,US
282,Plymouth Cricket,26,4,91,70,1955,71,US
283,Plymouth 'Cuda 340,14,8,340,160,3609,70,US
284,Plymouth Custom Suburb,13,8,360,170,4654,73,US
285,Plymouth Duster,22,6,198,95,2833,70,US
286,Plymouth Duster,23,6,198,95,2904,73,US
287,Plymouth Duster,20,6,198,95,3102,74,US
288,Plymouth Fury,18,6,225,95,3785,75,US
289,Plymouth Fury Gran Sedan,14,8,318,150,4237,73,US
290,Plymouth Fury iii,14,8,440,215,4312,70,US
291,Plymouth Fury iii,14,8,318,150,4096,71,US
292,Plymouth Fury III,15,8,318,150,4135,72,US
293,Plymouth Grand Fury,16,8,318,150,4498,75,US
294,Plymouth Horizon,34.2,4,105,70,2200,79,US
295,Plymouth Horizon 4,34.7,4,105,63,2215,81,US
296,Plymouth Horizon Miser,38,4,105,63,2125,82,US
297,Plymouth Horizon TC3,34.5,4,105,70,2150,79,US
298,Plymouth Reliant,27.2,4,135,84,2490,81,US
299,Plymouth Reliant,30,4,135,84,2385,81,US
300,Plymouth Sapporo,23.2,4,156,105,2745,78,US
301,Plymouth Satellite,18,8,318,150,3436,70,US
302,Plymouth Satellite Custom,16,6,225,105,3439,71,US
303,Plymouth Satellite Custom (sw),14,8,318,150,4077,72,US
304,Plymouth Satellite Sebring,18,6,225,105,3613,74,US
305,Plymouth Valiant,18,6,225,105,3121,73,US
306,Plymouth Valiant,22,6,225,100,3233,76,US
307,Plymouth Valiant Custom,19,6,225,95,3264,75,US
308,Plymouth Volare,20.5,6,225,100,3430,78,US
309,Plymouth Volare Custom,19,6,225,100,3630,77,US
310,Plymouth Volare Premier v8,13,8,318,150,3940,76,US
311,Pontiac Astro,23,4,140,78,2592,75,US
312,Pontiac Catalina,14,8,455,225,4425,70,US
313,Pontiac Catalina,14,8,400,175,4385,72,US
314,Pontiac Catalina,16,8,400,170,4668,75,US
315,Pontiac Catalina Brougham,14,8,400,175,4464,71,US
316,Pontiac Firebird,19,6,250,100,3282,71,US
317,Pontiac Grand Prix,16,8,400,230,4278,73,US
318,Pontiac Grand Prix LJ,16,8,400,180,4220,77,US
319,Pontiac J2000 SE Hatchback,31,4,112,85,2575,82,US
320,Pontiac Lemans V6,21.5,6,231,115,3245,79,US
321,Pontiac Phoenix,33.5,4,151,90,2556,79,US
322,Pontiac Phoenix,27,4,151,90,2735,82,US
323,Pontiac Phoenix LJ,19.2,6,231,105,3535,78,US
324,Pontiac Safari (sw),13,8,400,175,5140,71,US
325,Pontiac Sunbird Coupe,24.5,4,151,88,2740,77,US
326,Pontiac Ventura SJ,18.5,6,250,110,3645,76,US
327,Renault 12 (sw),26,4,96,69,2189,72,Europe
328,Renault 12tl,27,4,101,83,2202,76,Europe
329,Renault 5 GTL,36,4,79,58,1825,77,Europe
330,Saab 99e,25,4,104,95,2375,70,Europe
331,Saab 99gle,21.6,4,121,115,2795,78,Europe
332,Saab 99le,24,4,121,110,2660,73,Europe
333,Saab 99LE,25,4,121,115,2671,75,Europe
334,Subaru,26,4,108,93,2391,74,Japan
335,Subaru,32.3,4,97,67,2065,81,Japan
336,Subaru DL,30,4,97,67,1985,77,Japan
337,Subaru DL,33.8,4,97,67,2145,80,Japan
338,Toyota Camry,20,4,97,88,2279,73,Japan
339,Toyota Celica GT,32,4,144,96,2665,82,Japan
340,Toyota Celica GT Liftback,21.1,4,134,95,2515,78,Japan
341,Toyota Corolla,25,4,113,95,2228,71,Japan
342,Toyota Corolla,31,4,76,52,1649,74,Japan
343,Toyota Corolla,29,4,97,75,2171,75,Japan
344,Toyota Corolla,24,4,134,96,2702,75,Japan
345,Toyota Corolla,28,4,97,75,2155,76,Japan
346,Toyota Corolla,27.5,4,134,95,2560,78,Japan
347,Toyota Corolla,32.2,4,108,75,2265,80,Japan
348,Toyota Corolla,32.4,4,108,75,2350,81,Japan
349,Toyota Corolla,34,4,108,70,2245,82,Japan
350,Toyota Corolla 1200,31,4,71,65,1773,71,Japan
351,Toyota Corolla 1200,32,4,71,65,1836,74,Japan
352,Toyota Corolla 1600 (sw),27,4,97,88,2100,72,Japan
353,Toyota Corolla Hardtop,24,4,113,95,2278,72,Japan
354,Toyota Corolla Liftback,26,4,97,75,2265,77,Japan
355,Toyota Corolla Liftback,29.8,4,134,90,2711,80,Japan
356,Toyota Corolla Mark ii,24,4,113,95,2372,70,Japan
357,Toyota Corolla Mark II (sw),23,4,120,97,2506,72,Japan
358,Toyota Corolla Tercel,38.1,4,89,60,1968,80,Japan
359,Toyota Cressida,25.4,6,168,116,2900,81,Japan
360,Toyota Mark II,20,6,156,122,2807,73,Japan
361,Toyota Mark II,19,6,156,108,2930,76,Japan
362,Toyota Starlet,39.1,4,79,58,1755,81,Japan
363,Toyota Tercel,37.7,4,89,62,2050,81,Japan
364,Triumph TR7 Coupe,35,4,122,88,2500,80,Europe
365,Volkswagen 1131 Deluxe Sedan,26,4,97,46,1835,70,Europe
366,Volkswagen 411 (sw),22,4,121,76,2511,72,Europe
367,Volkswagen Dasher,26,4,79,67,1963,74,Europe
368,Volkswagen Dasher,25,4,90,71,2223,75,Europe
369,Volkswagen Dasher,30.5,4,97,78,2190,77,Europe
370,Volkswagen Dasher (diesel),43.4,4,90,48,2335,80,Europe
371,Volkswagen Jetta,33,4,105,74,2190,81,Europe
372,Volkswagen Model 111,27,4,97,60,1834,71,Europe
373,Volkswagen Pickup,44,4,97,52,2130,82,Europe
374,Volkswagen Rabbit,29,4,90,70,1937,75,Europe
375,Volkswagen Rabbit,29,4,90,70,1937,76,Europe
376,Volkswagen Rabbit,29.5,4,97,71,1825,76,Europe
377,Volkswagen Rabbit,41.5,4,98,76,2144,80,Europe
378,Volkswagen Rabbit,29.8,4,89,62,1845,80,Europe
379,Volkswagen Rabbit C (Diesel),44.3,4,90,48,2085,80,Europe
380,Volkswagen Rabbit Custom,29,4,97,78,1940,77,Europe
381,Volkswagen Rabbit Custom,31.9,4,89,71,1925,79,Europe
382,Volkswagen Rabbit Custom Diesel,43.1,4,90,48,1985,78,Europe
383,Volkswagen Rabbit l,36,4,105,74,1980,82,Europe
384,Volkswagen Scirocco,31.5,4,89,71,1990,78,Europe
385,Volkswagen Super Beetle,26,4,97,46,1950,73,Europe
386,Volkswagen Type 3,23,4,97,54,2254,72,Europe
387,Volvo 144ea,19,4,121,112,2868,73,Europe
388,Volvo 145e (sw),18,4,121,112,2933,72,Europe
389,Volvo 244DL,22,4,121,98,2945,75,Europe
390,Volvo 245,20,4,130,102,3150,76,Europe
391,Volvo 264gl,17,6,163,125,3140,78,Europe
392,Volvo Diesel,30.7,6,145,76,3160,81,Europe
